TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,"AST
RATIO",OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Oklahoma City Thunder,12,9,3,581.0,112.6,102.8,9.8,55.0,1.63,16.6,33.3,72.4,53.9,14.2,50.9,55.7,98.48,56.0
Cleveland Cavaliers,11,8,3,528.0,110.4,100.4,10.0,60.1,1.48,17.5,30.3,71.0,52.0,16.3,53.8,57.3,95.18,54.9
Golden State Warriors,11,8,3,528.0,108.9,101.6,7.2,67.6,2.19,19.9,25.5,74.0,49.1,12.7,52.6,55.4,99.23,54.6
Atlanta Hawks,11,7,4,528.0,103.8,102.1,1.7,64.4,1.58,17.9,26.7,66.4,47.0,15.5,50.2,54.1,95.50,51.0
Boston Celtics,11,7,4,533.0,104.6,101.5,3.1,64.8,1.93,17.9,30.8,73.0,50.7,13.1,47.8,51.4,96.72,50.8
Chicago Bulls,10,7,3,480.0,105.7,99.0,6.7,61.5,1.72,17.5,31.3,72.2,52.3,14.2,48.7,53.0,92.95,55.1
Dallas Mavericks,12,7,5,581.0,101.5,100.9,0.6,57.5,1.50,16.2,27.5,67.5,47.5,14.7,48.0,51.6,96.54,50.7
Houston Rockets,10,7,3,480.0,106.3,103.4,2.9,65.3,1.62,17.6,30.9,68.1,49.2,15.2,49.8,53.5,99.70,51.1
Indiana Pacers,9,7,2,432.0,109.2,105.5,3.7,62.8,1.95,18.9,25.9,69.8,49.4,13.4,52.3,56.0,92.94,54.0
Memphis Grizzlies,11,7,4,528.0,99.7,100.8,-1.1,56.6,1.48,16.0,28.5,71.8,50.0,14.7,46.3,50.9,93.50,50.7
Milwaukee Bucks,12,7,5,581.0,99.0,97.9,1.1,62.2,1.46,17.4,26.6,67.0,47.4,16.2,48.1,52.0,94.80,52.1
Brooklyn Nets,11,6,5,528.0,106.0,104.1,1.9,53.5,1.45,16.1,28.5,69.3,49.6,15.1,50.3,53.7,93.64,49.3
New Orleans Pelicans,11,6,5,528.0,106.6,109.9,-3.3,64.8,1.65,18.2,31.2,69.1,50.5,15.5,50.3,54.4,91.82,50.5
Portland Trail Blazers,9,6,3,437.0,106.6,102.8,3.8,58.1,1.55,16.4,28.5,71.2,51.0,14.3,49.8,54.7,94.30,54.7
San Antonio Spurs,11,6,5,528.0,103.9,100.7,3.3,62.2,1.78,18.0,27.4,74.7,50.5,14.1,49.2,52.7,95.18,51.9
Utah Jazz,11,6,5,528.0,103.0,99.0,4.0,53.6,1.25,15.2,34.5,69.9,52.6,16.8,49.4,52.3,91.09,53.0
Detroit Pistons,11,5,6,538.0,107.9,105.2,2.7,54.6,1.59,15.7,32.7,72.4,51.9,13.7,49.5,53.1,92.39,49.2
Los Angeles Clippers,11,5,6,528.0,109.0,107.0,2.0,58.8,1.94,17.4,28.6,70.0,49.3,12.4,51.7,54.3,97.45,51.0
Miami Heat,12,5,7,581.0,103.8,104.8,-1.0,59.0,1.33,16.6,31.5,71.6,51.5,17.1,49.9,54.0,92.94,49.3
Minnesota Timberwolves,11,5,6,528.0,103.4,103.8,-0.4,57.8,1.34,15.5,34.0,70.1,51.7,16.1,45.7,51.7,96.00,49.2
Orlando Magic,10,4,6,490.0,100.6,102.0,-1.4,55.0,1.34,16.4,27.5,72.9,50.3,16.5,50.1,52.7,91.98,47.1
Toronto Raptors,11,4,7,528.0,98.0,101.8,-3.8,53.1,1.17,14.2,26.2,70.6,48.4,15.9,46.9,51.7,95.36,46.4
Charlotte Hornets,9,3,6,432.0,97.3,102.4,-5.1,60.1,1.66,16.4,24.3,72.9,48.5,13.3,46.0,50.1,94.28,48.5
Los Angeles Lakers,10,3,7,495.0,102.5,108.9,-6.4,55.1,1.65,15.7,31.4,72.9,50.8,13.1,46.5,50.1,93.77,45.1
New York Knicks,11,3,8,538.0,99.8,108.2,-8.4,61.0,1.72,16.7,29.1,70.2,48.2,13.4,44.9,49.3,92.61,44.5
Philadelphia 76ers,10,3,7,480.0,96.3,100.9,-4.6,66.8,1.12,16.7,26.2,72.2,49.1,20.2,48.8,52.3,97.40,46.2
Phoenix Suns,11,3,8,533.0,101.2,105.6,-4.5,50.8,1.31,14.9,28.4,70.8,49.3,15.1,48.6,51.7,99.24,46.3
Sacramento Kings,10,3,7,480.0,97.6,108.1,-10.4,56.0,1.12,14.9,30.6,71.8,51.7,18.0,46.1,51.0,96.75,44.4
Washington Wizards,12,3,9,576.0,98.0,102.4,-4.5,63.0,1.44,17.4,29.4,72.8,51.2,16.7,46.7,50.6,95.08,48.0
Denver Nuggets,10,1,9,480.0,96.4,108.6,-12.2,61.9,1.57,15.8,27.3,65.8,45.0,13.7,44.0,48.5,97.55,41.7
