Team1,Team1Score,Team2,Team2Score,Team1Win,Team1OFFRTG,Team1DEFRTG,Team1NETRTG,Team1AST%,Team1AST/TO,"Team1AST
RATIO",Team1OREB%,Team1DREB%,Team1REB%,Team1TOV%,Team1EFG%,Team1TS%,Team1PACE,Team1PIE,Team2OFFRTG,Team2DEFRTG,Team2NETRTG,Team2AST%,Team2AST/TO,"Team2AST
RATIO",Team2OREB%,Team2DREB%,Team2REB%,Team2TOV%,Team2EFG%,Team2TS%,Team2PACE,Team2PIE
Boston Celtics,104,New York Knicks,106,0,106.1,110.7,-4.7,63.6,1.33,18.0,26.5,64.9,46.1,18.5,52.6,57.5,90.88,46.8,103.5,105.4,-1.9,58.9,1.3,14.9,27.2,61.1,43.7,15.3,46.2,53.4,91.75,46.5
Miami Heat,105,Dallas Mavericks,94,1,104.5,98.8,5.7,54.3,1.29,16.5,24.6,72.3,49.3,17.0,52.2,56.1,100.38,56.4,99.5,105.4,-5.9,66.2,1.49,16.8,24.4,76.1,47.5,15.1,46.7,52.3,97.38,45.4
Chicago Bulls,88,Los Angeles Lakers,87,1,109.0,104.1,4.9,59.9,1.42,17.4,37.6,69.1,53.5,17.4,50.5,54.3,92.25,51.8,103.3,95.8,7.6,59.4,1.39,17.0,36.0,69.2,53.8,17.1,48.5,52.4,89.9,56.3
Orlando Magic,89,Oklahoma City Thunder,97,0,108.7,98.0,10.7,57.8,1.57,16.8,33.7,70.9,52.2,15.2,50.5,52.8,89.0,54.2,107.8,101.7,6.1,56.3,1.08,15.9,25.2,66.8,49.0,19.5,53.4,59.2,94.8,55.2
Los Angeles Clippers,105,Golden State Warriors,86,1,107.6,115.4,-7.7,60.7,1.97,17.2,29.2,63.0,45.0,12.0,50.2,53.8,91.33,46.4,95.2,101.6,-6.4,57.7,1.36,15.5,30.4,71.6,51.0,15.5,45.1,48.8,93.63,47.6
Toronto Raptors,104,Cleveland Cavaliers,96,1,101.5,105.9,-4.5,68.5,1.58,20.2,26.6,69.2,49.6,17.7,52.8,55.1,90.0,50.2,104.3,103.9,0.4,56.9,1.32,15.9,34.5,65.3,50.0,16.8,48.6,52.4,90.2,49.3
New Jersey Nets,90,Washington Wizards,84,1,93.9,109.0,-15.1,51.2,0.98,13.1,31.5,68.2,49.8,17.9,43.0,47.8,89.38,38.8,89.5,105.4,-15.9,52.7,1.09,13.3,24.4,67.1,44.3,15.9,41.5,46.1,92.5,37.5
Houston Rockets,95,Orlando Magic,104,0,105.7,105.2,0.5,60.9,1.74,18.3,27.3,70.2,49.2,14.4,51.4,54.5,91.75,51.6,108.7,98.0,10.7,57.8,1.57,16.8,33.7,70.9,52.2,15.2,50.5,52.8,89.0,54.2
Detroit Pistons,79,Indiana Pacers,91,0,100.0,108.0,-8.0,55.9,1.21,15.7,32.6,67.6,49.3,18.1,47.2,50.8,87.63,41.7,96.3,92.1,4.2,55.4,1.29,13.9,32.1,73.0,51.7,14.7,41.6,47.7,92.83,54.0
Milwaukee Bucks,95,Charlotte Bobcats,96,0,103.1,95.4,7.7,62.8,1.61,17.9,27.9,66.0,47.5,15.4,48.6,52.5,95.17,56.9,97.1,105.8,-8.7,63.6,1.36,17.0,36.9,73.2,55.0,18.0,45.8,49.1,92.17,47.0
Oklahoma City Thunder,104,Minnesota Timberwolves,100,1,107.8,101.7,6.1,56.3,1.08,15.9,25.2,66.8,49.0,19.5,53.4,59.2,94.8,55.2,98.7,102.0,-3.3,53.8,0.9,14.1,32.7,73.5,53.0,21.0,48.3,52.8,99.83,44.9
Denver Nuggets,115,Dallas Mavericks,93,1,105.0,97.5,7.4,55.8,1.56,16.3,21.2,73.6,46.4,13.6,50.5,55.3,101.13,55.1,99.5,105.4,-5.9,66.2,1.49,16.8,24.4,76.1,47.5,15.1,46.7,52.3,97.38,45.4
Memphis Grizzlies,82,San Antonio Spurs,95,0,102.8,101.4,1.4,47.8,1.02,14.1,37.4,70.6,54.8,18.8,48.1,52.3,94.0,53.2,107.8,99.2,8.7,58.3,1.44,16.9,35.4,71.9,53.5,16.5,49.9,53.4,92.38,54.1
New Orleans Hornets,85,Phoenix Suns,84,1,98.1,97.0,1.2,41.2,1.05,11.0,38.1,72.0,54.5,14.3,40.9,46.3,88.0,49.1,97.3,101.1,-3.8,59.4,1.55,15.9,25.7,66.0,45.8,13.9,44.0,49.2,92.0,48.7
Philadelphia 76ers,103,Portland Trail Blazers,107,0,107.9,97.1,10.7,58.0,1.6,17.6,26.0,71.2,50.4,14.9,52.9,56.0,95.5,57.0,106.7,95.6,11.1,58.0,1.47,16.8,31.8,75.2,53.8,15.7,49.4,54.3,99.33,59.6
Los Angeles Lakers,91,Sacramento Kings,100,0,103.3,95.8,7.6,59.4,1.39,17.0,36.0,69.2,53.8,17.1,48.5,52.4,89.9,56.3,99.2,111.0,-11.8,42.0,0.89,10.9,37.7,64.6,50.4,16.7,44.2,48.0,93.13,37.5
Chicago Bulls,91,Golden State Warriors,99,0,109.0,104.1,4.9,59.9,1.42,17.4,37.6,69.1,53.5,17.4,50.5,54.3,92.25,51.8,95.2,101.6,-6.4,57.7,1.36,15.5,30.4,71.6,51.0,15.5,45.1,48.8,93.63,47.6
Atlanta Hawks,106,New Jersey Nets,70,1,109.7,96.1,13.6,57.7,1.58,16.4,31.9,72.9,52.5,14.4,49.2,54.0,90.13,58.9,93.9,109.0,-15.1,51.2,0.98,13.1,31.5,68.2,49.8,17.9,43.0,47.8,89.38,38.8
Boston Celtics,107,Miami Heat,115,0,106.1,110.7,-4.7,63.6,1.33,18.0,26.5,64.9,46.1,18.5,52.6,57.5,90.88,46.8,104.5,98.8,5.7,54.3,1.29,16.5,24.6,72.3,49.3,17.0,52.2,56.1,100.38,56.4
Minnesota Timberwolves,95,Milwaukee Bucks,98,0,98.7,102.0,-3.3,53.8,0.9,14.1,32.7,73.5,53.0,21.0,48.3,52.8,99.83,44.9,103.1,95.4,7.7,62.8,1.61,17.9,27.9,66.0,47.5,15.4,48.6,52.5,95.17,56.9
Sacramento Kings,79,Portland Trail Blazers,101,0,99.2,111.0,-11.8,42.0,0.89,10.9,37.7,64.6,50.4,16.7,44.2,48.0,93.13,37.5,106.7,95.6,11.1,58.0,1.47,16.8,31.8,75.2,53.8,15.7,49.4,54.3,99.33,59.6
Utah Jazz,71,Los Angeles Lakers,96,0,96.0,110.1,-14.0,54.1,1.43,14.4,27.0,71.0,47.0,13.5,42.4,47.5,94.38,40.4,103.3,95.8,7.6,59.4,1.39,17.0,36.0,69.2,53.8,17.1,48.5,52.4,89.9,56.3
Indiana Pacers,90,Toronto Raptors,85,1,96.3,92.1,4.2,55.4,1.29,13.9,32.1,73.0,51.7,14.7,41.6,47.7,92.83,54.0,101.5,105.9,-4.5,68.5,1.58,20.2,26.6,69.2,49.6,17.7,52.8,55.1,90.0,50.2
Miami Heat,96,Charlotte Bobcats,95,1,104.5,98.8,5.7,54.3,1.29,16.5,24.6,72.3,49.3,17.0,52.2,56.1,100.38,56.4,97.1,105.8,-8.7,63.6,1.36,17.0,36.9,73.2,55.0,18.0,45.8,49.1,92.17,47.0
Washington Wizards,83,Atlanta Hawks,101,0,89.5,105.4,-15.9,52.7,1.09,13.3,24.4,67.1,44.3,15.9,41.5,46.1,92.5,37.5,109.7,96.1,13.6,57.7,1.58,16.4,31.9,72.9,52.5,14.4,49.2,54.0,90.13,58.9
Cleveland Cavaliers,105,Detroit Pistons,89,1,104.3,103.9,0.4,56.9,1.32,15.9,34.5,65.3,50.0,16.8,48.6,52.4,90.2,49.3,100.0,108.0,-8.0,55.9,1.21,15.7,32.6,67.6,49.3,18.1,47.2,50.8,87.63,41.7
Boston Celtics,78,New Orleans Hornets,97,0,106.1,110.7,-4.7,63.6,1.33,18.0,26.5,64.9,46.1,18.5,52.6,57.5,90.88,46.8,98.1,97.0,1.2,41.2,1.05,11.0,38.1,72.0,54.5,14.3,40.9,46.3,88.0,49.1
Oklahoma City Thunder,98,Memphis Grizzlies,95,1,107.8,101.7,6.1,56.3,1.08,15.9,25.2,66.8,49.0,19.5,53.4,59.2,94.8,55.2,102.8,101.4,1.4,47.8,1.02,14.1,37.4,70.6,54.8,18.8,48.1,52.3,94.0,53.2
