Team1,Team1Score,Team2,Team2Score
Brooklyn Nets,112,New York Knicks,104
Boston Celtics,133,Chicago Bulls,77
Los Angeles Lakers,111,Memphis Grizzlies,88
Minnesota Timberwolves,105,Portland Trail Blazers,113
Miami Heat,121,Los Angeles Clippers,98
New Orleans Pelicans,116,Detroit Pistons,108
Milwaukee Bucks,104,Toronto Raptors,99
Utah Jazz,97,San Antonio Spurs,110
Charlotte Hornets,119,New York Knicks,107
Washington Wizards,101,Indiana Pacers,109
Detroit Pistons,102,Philadelphia 76ers,116
New Orleans Pelicans,100,Boston Celtics,113
Sacramento Kings,108,Chicago Bulls,89
Cleveland Cavaliers,92,Milwaukee Bucks,108
Utah Jazz,113,Oklahoma City Thunder,122
Orlando Magic,76,Dallas Mavericks,101
Memphis Grizzlies,99,Denver Nuggets,105
Los Angeles Clippers,123,Phoenix Suns,119
Minnesota Timberwolves,108,Golden State Warriors,116
Miami Heat,105,Los Angeles Lakers,108
Portland Trail Blazers,104,Houston Rockets,111
Phoenix Suns,86,San Antonio Spurs,111
Toronto Raptors,123,Los Angeles Clippers,99
Detroit Pistons,107,Charlotte Hornets,108
New York Knicks,106,Cleveland Cavaliers,113
Milwaukee Bucks,97,Indiana Pacers,113
Brooklyn Nets,127,Philadelphia 76ers,124
Boston Celtics,130,Washington Wizards,125
Portland Trail Blazers,83,Memphis Grizzlies,92
Oklahoma City Thunder,114,New Orleans Pelicans,118
Atlanta Hawks,107,Dallas Mavericks,114
Miami Heat,84,Utah Jazz,111
Minnesota Timberwolves,130,Sacramento Kings,141
Toronto Raptors,113,Golden State Warriors,93
Los Angeles Lakers,111,Houston Rockets,126
Los Angeles Clippers,87,San Antonio Spurs,125
Chicago Bulls,91,Orlando Magic,97
Dallas Mavericks,89,Phoenix Suns,99
Atlanta Hawks,108,Boston Celtics,129
New York Knicks,126,Charlotte Hornets,124
Washington Wizards,118,Brooklyn Nets,125
Milwaukee Bucks,114,Cleveland Cavaliers,102
Indiana Pacers,113,Philadelphia 76ers,101
Miami Heat,100,Memphis Grizzlies,97
Oklahoma City Thunder,98,Denver Nuggets,109
Toronto Raptors,122,Portland Trail Blazers,128
Golden State Warriors,130,Sacramento Kings,125
Utah Jazz,89,Orlando Magic,96
Los Angeles Lakers,128,Charlotte Hornets,100
Boston Celtics,104,Detroit Pistons,113
Houston Rockets,105,Memphis Grizzlies,97
Chicago Bulls,98,San Antonio Spurs,93
Los Angeles Clippers,104,Oklahoma City Thunder,110
Minnesota Timberwolves,99,Phoenix Suns,107
Atlanta Hawks,127,Brooklyn Nets,144
Philadelphia 76ers,128,Cleveland Cavaliers,105
New York Knicks,99,Indiana Pacers,110
Los Angeles Lakers,110,Washington Wizards,128
Sacramento Kings,120,Dallas Mavericks,113
Miami Heat,102,New Orleans Pelicans,96
Toronto Raptors,86,Denver Nuggets,95
Milwaukee Bucks,107,Detroit Pistons,104
Phoenix Suns,128,New York Knicks,110
Utah Jazz,97,Houston Rockets,102
Sacramento Kings,105,Minnesota Timberwolves,132
Chicago Bulls,96,Oklahoma City Thunder,121
Philadelphia 76ers,96,San Antonio Spurs,123
Memphis Grizzlies,93,Golden State Warriors,110
Portland Trail Blazers,131,Los Angeles Clippers,127
Cleveland Cavaliers,92,Indiana Pacers,91
Washington Wizards,110,Atlanta Hawks,118
Los Angeles Lakers,110,Brooklyn Nets,115
Dallas Mavericks,118,Denver Nuggets,126
Cleveland Cavaliers,99,Charlotte Hornets,110
San Antonio Spurs,129,Orlando Magic,90
New York Knicks,109,Philadelphia 76ers,131
Phoenix Suns,111,Boston Celtics,103
Indiana Pacers,96,Toronto Raptors,99
Brooklyn Nets,96,Chicago Bulls,93
Washington Wizards,118,Houston Rockets,136
New Orleans Pelicans,115,Milwaukee Bucks,123
Detroit Pistons,129,Minnesota Timberwolves,123
Golden State Warriors,103,Utah Jazz,108
Memphis Grizzlies,92,Portland Trail Blazers,99
Oklahoma City Thunder,132,Sacramento Kings,113
Houston Rockets,99,Miami Heat,101
Dallas Mavericks,121,Los Angeles Clippers,125
Detroit Pistons,86,Charlotte Hornets,98
Cleveland Cavaliers,110,Toronto Raptors,126
Indiana Pacers,114,Brooklyn Nets,106
Atlanta Hawks,114,New York Knicks,107
Milwaukee Bucks,120,Boston Celtics,107
Orlando Magic,80,Chicago Bulls,90
Minnesota Timberwolves,98,San Antonio Spurs,124
Utah Jazz,120,Portland Trail Blazers,90
Memphis Grizzlies,99,Sacramento Kings,102
New Orleans Pelicans,104,Los Angeles Lakers,112
Denver Nuggets,111,Los Angeles Clippers,132
Phoenix Suns,146,Washington Wizards,149
Toronto Raptors,101,Philadelphia 76ers,126
San Antonio Spurs,101,Houston Rockets,108
Milwaukee Bucks,87,Miami Heat,94
Dallas Mavericks,116,Golden State Warriors,120
Oklahoma City Thunder,107,Utah Jazz,106
Atlanta Hawks,98,Detroit Pistons,95
Washington Wizards,89,Indiana Pacers,105
Charlotte Hornets,103,Boston Celtics,119
Phoenix Suns,103,Brooklyn Nets,111
Chicago Bulls,112,Cleveland Cavaliers,92
Miami Heat,115,Orlando Magic,91
New Orleans Pelicans,117,Sacramento Kings,122
Minnesota Timberwolves,114,Oklahoma City Thunder,112
Los Angeles Clippers,127,Golden State Warriors,129
Dallas Mavericks,118,Portland Trail Blazers,121
Memphis Grizzlies,107,Los Angeles Lakers,99
Milwaukee Bucks,109,New York Knicks,95
Oklahoma City Thunder,109,Houston Rockets,113
Philadelphia 76ers,114,Boston Celtics,121
Los Angeles Lakers,127,Golden State Warriors,101
Portland Trail Blazers,96,Utah Jazz,117
Washington Wizards,95,Detroit Pistons,106
Phoenix Suns,122,Orlando Magic,120
Indiana Pacers,129,Atlanta Hawks,121
Charlotte Hornets,132,Brooklyn Nets,134
Toronto Raptors,106,Miami Heat,104
Minnesota Timberwolves,119,Chicago Bulls,94
Cleveland Cavaliers,87,Memphis Grizzlies,95
New Orleans Pelicans,119,Dallas Mavericks,122
Denver Nuggets,103,San Antonio Spurs,111
Sacramento Kings,118,Los Angeles Clippers,127
Boston Celtics,113,Houston Rockets,127
New York Knicks,96,Milwaukee Bucks,112
Los Angeles Lakers,116,Sacramento Kings,117
Portland Trail Blazers,110,Golden State Warriors,109
Philadelphia 76ers,114,Utah Jazz,97
Brooklyn Nets,87,Charlotte Hornets,100
Detroit Pistons,88,Indiana Pacers,125
Toronto Raptors,87,Orlando Magic,116
Chicago Bulls,101,Washington Wizards,92
Cleveland Cavaliers,94,Miami Heat,118
Atlanta Hawks,123,Minnesota Timberwolves,120
Dallas Mavericks,112,New Orleans Pelicans,114
San Antonio Spurs,99,Denver Nuggets,102
Oklahoma City Thunder,118,Phoenix Suns,102
Los Angeles Clippers,118,Los Angeles Lakers,107
Brooklyn Nets,115,Milwaukee Bucks,129
Houston Rockets,108,New Orleans Pelicans,104
Charlotte Hornets,126,Washington Wizards,130
Cleveland Cavaliers,108,Atlanta Hawks,111
Boston Celtics,112,Memphis Grizzlies,103
New York Knicks,97,Utah Jazz,129
Denver Nuggets,122,Phoenix Suns,118
Golden State Warriors,115,Portland Trail Blazers,105
San Antonio Spurs,122,Los Angeles Clippers,111
Detroit Pistons,107,Orlando Magic,109
Minnesota Timberwolves,113,Miami Heat,104
Chicago Bulls,89,Toronto Raptors,95
Oklahoma City Thunder,103,Dallas Mavericks,105
Philadelphia 76ers,95,Portland Trail Blazers,129
Sacramento Kings,114,Los Angeles Lakers,121
Atlanta Hawks,108,Indiana Pacers,116
Orlando Magic,100,Charlotte Hornets,125
Memphis Grizzlies,101,Houston Rockets,113
Boston Celtics,111,San Antonio Spurs,120
Minnesota Timberwolves,114,New Orleans Pelicans,123
Dallas Mavericks,102,Oklahoma City Thunder,122
Golden State Warriors,132,Phoenix Suns,109
