TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,"AST
RATIO",OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Philadelphia 76ers,7,7,0,336.0,116.5,102.2,14.3,68.2,2.52,21.7,27.9,77.4,54.0,12.4,57.4,59.3,103.64,60.3
Denver Nuggets,6,5,1,298.0,112.2,107.5,4.7,64.7,1.97,18.5,31.0,71.0,51.7,13.4,51.8,55.8,95.11,54.4
New Orleans Pelicans,6,5,1,288.0,114.1,100.5,13.7,70.3,2.16,21.8,23.9,69.8,49.1,14.3,57.2,60.0,103.67,60.2
Utah Jazz,6,5,1,288.0,115.1,98.0,17.1,63.7,1.81,19.5,29.9,75.8,54.1,15.3,57.0,59.4,98.50,60.2
Cleveland Cavaliers,6,4,2,288.0,114.3,110.4,3.9,56.1,1.64,16.6,26.1,75.1,50.9,13.6,54.7,58.8,99.33,51.1
Oklahoma City Thunder,5,4,1,240.0,113.4,104.7,8.7,57.2,1.61,15.8,31.7,79.1,53.6,13.6,50.6,55.6,101.70,51.8
Toronto Raptors,6,4,2,293.0,106.9,100.2,6.7,64.1,1.83,19.2,26.8,78.2,53.3,14.8,52.9,55.1,95.02,54.1
Atlanta Hawks,6,3,3,288.0,101.8,105.9,-4.1,64.8,1.66,18.5,23.5,75.3,49.8,15.3,51.1,53.3,99.00,47.4
Brooklyn Nets,6,3,3,288.0,106.3,108.0,-1.7,71.2,1.70,20.3,18.1,73.6,46.5,16.3,56.4,58.4,100.83,49.8
Detroit Pistons,6,3,3,293.0,113.1,109.0,4.1,61.7,2.11,18.6,24.3,75.3,49.6,12.1,54.2,57.0,96.25,50.4
Golden State Warriors,6,3,3,288.0,107.4,113.0,-5.6,63.1,1.81,19.4,20.1,71.1,46.4,14.5,54.4,57.6,100.92,48.1
Houston Rockets,6,3,3,288.0,102.4,104.9,-2.5,51.7,1.19,14.4,22.6,75.9,49.1,15.7,51.4,54.8,95.67,47.0
Indiana Pacers,6,3,3,288.0,107.0,109.7,-2.7,57.4,1.96,17.6,27.1,70.9,48.3,12.4,51.4,53.8,98.08,47.1
Miami Heat,5,3,2,245.0,104.4,105.4,-1.0,54.9,1.81,16.4,26.2,75.7,50.7,12.4,48.9,51.9,98.35,49.6
Milwaukee Bucks,6,3,3,293.0,106.9,108.8,-1.9,61.2,1.94,18.1,26.6,72.6,49.4,12.9,50.2,54.3,100.34,48.5
Minnesota Timberwolves,5,3,2,245.0,109.0,107.5,1.6,57.4,2.21,17.1,31.5,68.9,49.3,10.9,48.8,52.7,94.82,52.2
Orlando Magic,7,3,4,336.0,99.9,104.7,-4.9,65.4,2.00,18.2,24.0,73.5,48.2,12.5,47.6,50.5,96.93,48.1
Sacramento Kings,5,3,2,240.0,98.7,98.9,-0.2,54.7,1.66,15.6,28.6,73.4,50.4,12.9,46.5,48.7,91.80,49.5
San Antonio Spurs,6,3,3,293.0,109.9,109.0,0.9,54.0,2.02,16.5,25.6,71.9,47.8,11.1,49.8,53.9,94.61,51.1
Boston Celtics,6,2,4,288.0,102.9,106.4,-3.6,61.6,1.48,17.4,27.2,75.2,50.7,16.1,50.2,53.7,98.42,49.1
Charlotte Hornets,5,2,3,240.0,116.4,108.6,7.8,61.4,1.72,18.4,24.8,75.3,51.5,14.6,56.3,60.7,101.70,53.2
Chicago Bulls,6,2,4,288.0,104.2,112.3,-8.1,60.0,1.55,17.8,23.9,79.8,49.7,15.5,52.5,54.5,100.17,43.4
Los Angeles Lakers,7,2,5,341.0,103.9,106.4,-2.6,59.8,1.37,16.6,25.6,71.7,50.0,16.4,50.9,54.9,98.04,48.9
New York Knicks,5,2,3,240.0,106.8,109.5,-2.7,66.3,2.13,20.1,24.6,68.4,47.3,13.3,52.5,54.6,96.80,48.5
Phoenix Suns,5,2,3,240.0,106.0,108.5,-2.5,61.5,1.66,18.0,24.2,73.8,50.3,14.8,52.3,55.5,100.50,49.8
Portland Trail Blazers,6,2,4,288.0,103.6,103.6,0.0,51.5,1.40,15.2,26.7,77.2,51.6,14.6,49.1,52.7,97.42,48.4
Dallas Mavericks,6,1,5,293.0,102.6,111.3,-8.8,59.1,2.06,17.0,23.7,74.6,47.0,11.2,49.0,51.2,96.49,42.4
LA Clippers,6,1,5,288.0,106.8,120.5,-13.7,59.3,1.64,17.3,33.8,72.1,52.1,15.0,50.6,53.7,97.33,43.3
Memphis Grizzlies,6,1,5,288.0,107.1,118.5,-11.4,56.8,1.41,16.9,30.1,66.8,47.7,16.4,51.6,55.1,98.25,44.1
Washington Wizards,6,1,5,288.0,103.4,109.9,-6.5,66.2,1.65,18.8,24.3,77.3,49.6,15.6,51.3,54.5,99.42,46.5
