TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,"AST
RATIO",OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Boston Celtics,16,14,2,773.0,107.9,100.3,7.6,60.1,1.58,17.0,27.7,76.6,52.2,14.7,51.7,55.6,96.78,53.9
Cleveland Cavaliers,15,12,3,725.0,114.1,107.8,6.3,57.1,1.60,17.4,25.8,72.3,49.9,14.6,55.9,60.0,99.51,53.2
Houston Rockets,13,12,1,624.0,118.9,102.6,16.3,61.2,1.60,18.1,26.8,76.6,52.3,15.4,58.5,62.3,100.62,57.2
Golden State Warriors,14,11,3,677.0,111.0,99.6,11.4,68.6,1.86,20.7,23.6,74.1,51.0,15.4,56.8,60.0,102.91,58.0
San Antonio Spurs,14,10,4,672.0,108.9,103.4,5.6,63.1,1.74,18.7,26.5,74.0,51.1,14.8,52.9,56.7,95.00,54.1
Denver Nuggets,14,9,5,672.0,109.0,108.7,0.3,58.3,1.36,16.9,32.5,75.6,53.4,17.2,53.3,56.5,98.96,50.4
Detroit Pistons,12,9,3,576.0,110.4,106.2,4.2,61.0,1.57,18.1,28.7,75.5,51.7,15.9,54.4,57.3,96.63,51.1
Minnesota Timberwolves,15,9,6,720.0,109.8,106.1,3.7,57.8,1.66,17.2,29.9,74.6,52.4,14.2,51.8,55.9,97.50,53.4
Philadelphia 76ers,14,9,5,672.0,106.7,103.8,2.9,64.2,1.53,18.1,30.4,75.0,53.2,16.6,52.0,55.3,103.86,53.1
Portland Trail Blazers,15,9,6,725.0,101.8,101.0,0.8,47.3,1.11,13.7,26.9,77.3,52.7,16.1,49.2,53.7,97.72,51.1
Toronto Raptors,14,9,5,672.0,114.3,108.5,5.8,55.1,1.58,17.6,25.3,70.4,49.1,14.9,57.6,60.4,97.00,52.4
Indiana Pacers,15,8,7,720.0,108.7,108.7,-0.1,57.9,1.73,18.0,24.0,73.4,49.2,14.1,54.4,57.3,99.07,50.6
Miami Heat,15,8,7,720.0,100.3,103.5,-3.2,58.8,1.31,16.2,21.9,74.9,48.7,16.3,50.9,54.3,97.10,48.2
New Orleans Pelicans,14,8,6,677.0,106.2,107.4,-1.2,65.8,1.65,19.3,24.5,72.2,49.3,16.1,54.0,57.3,100.47,51.3
New York Knicks,15,8,7,720.0,108.8,107.6,1.2,59.3,1.52,17.9,30.0,72.9,52.5,16.3,52.8,56.5,96.77,52.1
Milwaukee Bucks,13,7,6,629.0,106.9,107.6,-0.7,56.1,1.65,17.2,23.8,69.9,46.9,14.0,53.2,56.0,95.58,50.1
Utah Jazz,15,7,8,725.0,108.1,105.0,3.1,57.0,1.64,16.4,24.0,74.9,48.3,13.4,51.6,55.9,97.13,51.3
Washington Wizards,15,7,8,725.0,108.4,106.4,2.0,54.2,1.48,16.1,26.5,72.9,50.3,14.6,52.1,56.2,97.09,50.8
Brooklyn Nets,13,5,8,624.0,104.9,107.0,-2.2,59.0,1.50,16.8,23.8,76.5,49.6,15.0,51.5,54.8,102.50,47.9
Los Angeles Lakers,14,5,9,677.0,103.8,104.8,-1.1,55.8,1.39,16.4,26.1,72.5,49.4,15.8,50.8,54.0,103.66,49.5
Phoenix Suns,16,5,11,773.0,102.9,110.4,-7.5,51.5,1.30,14.8,29.1,72.2,50.1,15.2,49.1,52.9,103.89,45.1
Sacramento Kings,14,5,9,672.0,99.8,110.9,-11.1,56.8,1.43,16.4,24.2,72.2,46.8,15.4,49.3,52.2,95.36,42.6
Charlotte Hornets,13,4,9,629.0,108.6,111.9,-3.2,56.9,1.76,16.1,28.2,75.2,50.9,12.5,50.0,54.4,97.83,48.7
Dallas Mavericks,14,4,10,677.0,101.3,104.3,-3.0,57.4,1.61,16.5,20.1,78.6,47.9,13.6,49.8,53.0,98.27,46.1
LA Clippers,14,4,10,677.0,107.2,111.4,-4.2,53.8,1.25,15.6,28.3,71.1,49.5,16.8,52.3,56.3,97.81,46.5
Oklahoma City Thunder,13,4,9,624.0,102.8,103.5,-0.8,53.5,1.36,14.8,28.8,73.9,49.7,14.6,48.5,52.1,97.50,47.9
Orlando Magic,15,4,11,720.0,103.9,112.0,-8.0,60.3,1.56,17.5,22.8,70.8,46.8,15.1,52.6,55.3,100.07,45.8
Atlanta Hawks,14,3,11,672.0,106.3,111.7,-5.5,61.3,1.46,18.1,27.1,69.9,48.3,16.9,53.8,56.6,98.07,47.1
Chicago Bulls,15,2,13,725.0,97.9,109.5,-11.7,59.5,1.60,16.6,23.4,78.8,49.0,14.0,47.9,50.6,98.55,42.3
Memphis Grizzlies,13,2,11,624.0,102.7,109.6,-6.9,60.0,1.51,17.3,22.9,70.9,46.8,15.4,51.0,54.7,94.96,47.0
