Team1,Team1Score,Team2,Team2Score
Charlotte Hornets,98,Washington Wizards,113
Los Angeles Lakers,110,Houston Rockets,130
Dallas Mavericks,91,Los Angeles Clippers,98
Utah Jazz,100,Denver Nuggets,84
Milwaukee Bucks,109,Philadelphia 76ers,108
Brooklyn Nets,105,Indiana Pacers,129
Orlando Magic,96,Miami Heat,118
Golden State Warriors,92,San Antonio Spurs,86
Toronto Raptors,93,New York Knicks,89
Atlanta Hawks,94,Cleveland Cavaliers,109
Milwaukee Bucks,98,Orlando Magic,107
Charlotte Hornets,114,Boston Celtics,100
Washington Wizards,120,Brooklyn Nets,111
Houston Rockets,129,Minnesota Timberwolves,105
Chicago Bulls,121,New Orleans Pelicans,116
Los Angeles Lakers,79,Oklahoma City Thunder,112
Dallas Mavericks,101,Utah Jazz,92
Sacramento Kings,105,Phoenix Suns,101
New York Knicks,90,Indiana Pacers,102
Miami Heat,99,Detroit Pistons,93
Philadelphia 76ers,98,Toronto Raptors,122
Oklahoma City Thunder,98,San Antonio Spurs,102
Memphis Grizzlies,84,Los Angeles Clippers,110
Miami Heat,88,Boston Celtics,98
Toronto Raptors,103,Brooklyn Nets,96
Philadelphia 76ers,105,Chicago Bulls,115
Orlando Magic,103,Charlotte Hornets,117
Detroit Pistons,112,Cleveland Cavaliers,110
San Antonio Spurs,96,Dallas Mavericks,91
Sacramento Kings,81,Houston Rockets,116
Indiana Pacers,97,Milwaukee Bucks,92
New Orleans Pelicans,109,Minnesota Timberwolves,144
Atlanta Hawks,98,Washington Wizards,109
Memphis Grizzlies,104,Golden State Warriors,125
Utah Jazz,96,Los Angeles Lakers,101
Los Angeles Clippers,105,Phoenix Suns,114
Denver Nuggets,99,Portland Trail Blazers,107
Indiana Pacers,100,Toronto Raptors,90
Houston Rockets,78,Golden State Warriors,104
Boston Celtics,101,Atlanta Hawks,102
Dallas Mavericks,70,Oklahoma City Thunder,108
Detroit Pistons,101,Cleveland Cavaliers,106
Charlotte Hornets,91,Miami Heat,123
Memphis Grizzlies,74,San Antonio Spurs,106
Portland Trail Blazers,95,Los Angeles Clippers,115
Indiana Pacers,87,Toronto Raptors,98
Dallas Mavericks,85,Oklahoma City Thunder,84
Houston Rockets,106,Golden State Warriors,115
Boston Celtics,72,Atlanta Hawks,89
Memphis Grizzlies,68,San Antonio Spurs,94
Charlotte Hornets,103,Miami Heat,115
Detroit Pistons,90,Cleveland Cavaliers,107
Portland Trail Blazers,81,Los Angeles Clippers,102
Oklahoma City Thunder,131,Dallas Mavericks,102
Toronto Raptors,101,Indiana Pacers,85
Golden State Warriors,96,Houston Rockets,97
Cleveland Cavaliers,101,Detroit Pistons,91
Atlanta Hawks,103,Boston Celtics,111
San Antonio Spurs,96,Memphis Grizzlies,87
Toronto Raptors,83,Indiana Pacers,100
Miami Heat,80,Charlotte Hornets,96
Oklahoma City Thunder,119,Dallas Mavericks,108
Los Angeles Clippers,88,Portland Trail Blazers,96
San Antonio Spurs,116,Memphis Grizzlies,95
Golden State Warriors,121,Houston Rockets,94
Atlanta Hawks,95,Boston Celtics,104
Cleveland Cavaliers,100,Detroit Pistons,98
Miami Heat,85,Charlotte Hornets,89
Dallas Mavericks,104,Oklahoma City Thunder,118
Los Angeles Clippers,84,Portland Trail Blazers,98
Indiana Pacers,99,Toronto Raptors,102
Boston Celtics,83,Atlanta Hawks,110
Charlotte Hornets,90,Miami Heat,88
Portland Trail Blazers,108,Los Angeles Clippers,98
Houston Rockets,81,Golden State Warriors,114
Atlanta Hawks,104,Boston Celtics,92
Toronto Raptors,83,Indiana Pacers,101
Miami Heat,97,Charlotte Hornets,90
Los Angeles Clippers,103,Portland Trail Blazers,106
Oklahoma City Thunder,92,San Antonio Spurs,124
