TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,"AST
RATIO",OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Golden State Warriors,6,5,1,288.0,113.7,103.7,10.0,66.2,2.02,21.4,22.9,71.2,49.4,14.9,58.6,60.0,103.42,55.5
Oklahoma City Thunder,5,5,0,240.0,119.0,110.3,8.7,64.9,2.21,19.7,34.9,78.8,55.9,13.2,55.1,57.3,102.80,54.8
Portland Trail Blazers,6,5,1,288.0,120.4,113.0,7.5,52.4,1.65,17.0,35.4,71.1,53.9,14.5,56.5,59.5,98.75,53.5
Boston Celtics,5,4,1,240.0,111.5,105.4,6.1,63.2,2.36,19.0,23.8,70.8,48.3,11.1,53.0,56.5,100.80,53.4
Charlotte Hornets,6,4,2,288.0,117.3,111.9,5.4,58.3,2.61,18.2,23.4,73.3,47.9,9.4,53.7,57.9,95.50,52.8
Houston Rockets,5,4,1,240.0,126.0,103.9,22.0,57.3,2.65,18.6,23.3,73.8,49.0,9.6,60.0,62.4,102.10,58.0
Orlando Magic,5,4,1,240.0,120.1,110.1,10.0,63.9,2.19,20.4,31.8,81.4,56.5,13.4,57.4,60.2,101.30,54.5
San Antonio Spurs,5,4,1,240.0,112.8,106.8,6.0,58.2,1.83,18.3,25.4,75.1,51.8,13.6,54.7,58.4,97.30,53.7
Toronto Raptors,5,4,1,245.0,115.2,105.7,9.5,64.0,2.14,19.8,22.2,77.8,51.7,12.6,56.6,59.8,99.33,54.6
Utah Jazz,6,4,2,293.0,115.0,107.0,8.1,67.5,1.75,19.8,26.7,73.3,51.7,15.7,57.7,61.3,101.32,56.2
Brooklyn Nets,5,3,2,240.0,110.7,107.6,3.1,56.4,1.55,16.3,30.6,79.5,54.2,14.7,52.1,55.1,104.80,49.1
Dallas Mavericks,6,3,3,293.0,110.7,109.2,1.4,66.8,2.52,19.4,25.7,78.0,51.4,10.8,51.2,54.5,101.32,50.3
Denver Nuggets,6,3,3,288.0,110.0,108.1,1.9,65.3,2.25,19.4,26.4,71.8,48.2,12.2,51.9,54.7,98.42,50.5
Indiana Pacers,5,3,2,240.0,109.8,110.2,-0.4,62.7,2.18,19.0,24.5,66.0,46.0,12.0,52.5,55.6,99.70,51.2
Milwaukee Bucks,5,3,2,240.0,113.0,110.9,2.1,57.9,1.86,17.5,22.1,77.5,50.7,12.6,54.2,58.1,109.70,52.5
New York Knicks,6,3,3,288.0,102.7,109.6,-6.9,59.3,1.64,17.0,16.8,71.0,45.9,13.5,52.1,55.4,98.67,48.6
Detroit Pistons,6,2,4,288.0,105.6,109.4,-3.8,57.5,1.52,15.6,29.1,71.1,49.1,14.1,48.6,52.8,95.75,45.5
Los Angeles Lakers,5,2,3,240.0,103.1,109.2,-6.1,66.0,1.53,18.3,35.2,73.0,54.0,17.3,50.0,52.3,102.30,46.7
Memphis Grizzlies,5,2,3,245.0,113.3,115.5,-2.2,63.0,1.94,18.3,27.1,71.0,50.0,13.1,54.1,57.9,97.37,49.6
Minnesota Timberwolves,6,2,4,288.0,110.1,115.9,-5.8,62.4,2.18,19.4,20.7,70.0,44.7,12.1,53.7,57.0,100.58,47.2
Philadelphia 76ers,6,2,4,288.0,110.5,114.0,-3.6,60.6,2.29,18.3,28.6,77.5,52.4,11.3,52.0,54.5,103.42,49.5
Phoenix Suns,5,2,3,245.0,111.7,122.3,-10.6,55.9,2.12,17.7,22.0,66.4,44.3,11.3,53.9,56.8,100.51,46.0
Atlanta Hawks,5,1,4,240.0,111.8,119.7,-7.9,60.5,2.03,17.6,27.6,70.5,47.6,12.0,51.6,54.8,106.50,45.3
Chicago Bulls,5,1,4,240.0,104.3,114.9,-10.6,48.8,1.98,15.2,23.3,74.6,48.1,10.2,48.7,51.7,98.10,43.6
LA Clippers,4,1,3,197.0,106.6,119.3,-12.7,68.2,1.81,19.4,21.7,69.7,45.8,14.6,53.1,56.8,106.96,44.3
Miami Heat,6,1,5,293.0,103.9,106.9,-3.1,61.8,1.73,18.1,25.3,72.9,49.2,14.4,50.7,53.1,101.24,48.2
New Orleans Pelicans,4,1,3,197.0,112.9,115.9,-2.9,59.5,1.83,18.8,27.5,72.3,50.3,14.4,54.5,56.7,102.21,47.4
Sacramento Kings,5,1,4,240.0,113.7,122.2,-8.5,50.9,2.23,16.5,29.4,72.9,49.1,10.2,52.8,55.0,101.90,45.8
Cleveland Cavaliers,5,0,5,240.0,106.1,122.7,-16.5,48.3,1.40,14.8,30.4,80.0,52.9,14.3,50.7,53.5,97.30,41.3
Washington Wizards,4,0,4,192.0,110.4,117.4,-7.0,57.3,2.13,17.2,31.4,73.9,50.7,11.4,49.4,52.8,100.88,45.7
