Team1,Team1Score,Team2,Team2Score,Team1Win,Team1OFFRTG,Team1DEFRTG,Team1NETRTG,Team1AST%,Team1AST/TO,"Team1AST
RATIO",Team1OREB%,Team1DREB%,Team1REB%,Team1TOV%,Team1EFG%,Team1TS%,Team1PACE,Team1PIE,Team2OFFRTG,Team2DEFRTG,Team2NETRTG,Team2AST%,Team2AST/TO,"Team2AST
RATIO",Team2OREB%,Team2DREB%,Team2REB%,Team2TOV%,Team2EFG%,Team2TS%,Team2PACE,Team2PIE
Cleveland Cavaliers,95,Chicago Bulls,97,0,105.2,92.3,12.9,67.8,1.95,19.5,30.5,77.6,54.2,14.2,50.0,52.6,95.83,58.6,99.7,95.4,4.2,45.1,0.96,13.2,22.8,67.7,48.0,17.3,51.0,54.8,98.9,52.1
Detroit Pistons,106,Atlanta Hawks,94,1,98.7,92.9,5.8,53.8,1.36,13.6,36.1,83.6,56.7,14.0,43.2,47.3,96.0,51.4,102.0,100.3,1.7,61.7,1.54,18.0,19.3,60.3,42.0,15.5,51.6,54.9,99.5,52.7
New Orleans Pelicans,95,Golden State Warriors,111,0,100.3,115.2,-14.8,53.0,1.35,15.2,25.0,73.2,47.4,14.9,47.3,50.8,103.0,39.4,115.2,99.4,15.8,62.3,2.13,18.8,28.5,71.2,50.6,12.3,54.0,57.8,103.17,60.2
Washington Wizards,88,Orlando Magic,87,1,103.6,103.3,0.3,55.7,1.02,14.5,31.1,67.3,49.5,19.0,49.0,55.1,102.0,50.0,99.6,101.3,-1.8,53.6,1.32,14.4,35.7,65.8,50.4,15.2,44.9,48.9,101.43,48.8
Philadelphia 76ers,95,Boston Celtics,112,0,85.6,109.3,-23.8,50.9,0.63,10.9,27.0,68.0,47.5,22.2,40.8,48.1,96.75,32.6,102.4,98.1,4.3,76.1,1.59,18.6,25.7,70.0,47.3,16.2,46.2,53.8,105.5,53.3
Chicago Bulls,115,Brooklyn Nets,100,1,99.7,95.4,4.2,45.1,0.96,13.2,22.8,67.7,48.0,17.3,51.0,54.8,98.9,52.1,92.7,110.4,-17.7,52.8,1.43,15.2,21.3,73.1,45.8,13.9,45.0,48.2,95.83,40.4
Utah Jazz,87,Detroit Pistons,92,0,102.5,86.6,15.9,44.5,1.32,13.4,31.0,76.8,53.7,13.4,46.8,50.7,92.0,62.0,98.7,92.9,5.8,53.8,1.36,13.6,36.1,83.6,56.7,14.0,43.2,47.3,96.0,51.4
Indiana Pacers,99,Toronto Raptors,106,0,95.2,107.1,-11.9,57.7,0.98,14.7,24.5,63.7,44.0,19.5,46.8,52.0,97.67,42.6,102.8,95.3,7.5,58.3,0.98,14.9,28.6,79.1,55.9,20.2,50.0,56.3,106.25,54.7
Charlotte Hornets,94,Miami Heat,104,0,97.4,104.1,-6.7,56.5,1.34,15.0,27.5,84.1,52.8,15.0,45.3,49.3,96.5,44.2,104.8,105.4,-0.6,63.8,1.69,18.0,16.9,72.1,47.6,13.9,52.0,58.0,93.25,51.9
New York Knicks,122,Milwaukee Bucks,97,1,110.7,103.9,6.8,54.5,1.29,15.3,38.0,67.3,52.5,16.6,48.9,54.7,102.33,53.3,105.0,121.2,-16.2,69.4,1.47,17.8,32.0,65.6,47.9,17.0,47.6,54.1,99.5,41.6
San Antonio Spurs,106,Oklahoma City Thunder,112,0,105.1,94.9,10.1,52.9,1.45,16.8,27.7,79.8,53.7,15.7,51.4,54.6,98.75,57.8,110.6,106.6,4.0,43.5,1.0,13.2,35.8,72.1,54.1,17.6,50.8,56.4,102.79,50.9
Cleveland Cavaliers,106,Memphis Grizzlies,76,1,105.2,92.3,12.9,67.8,1.95,19.5,30.5,77.6,54.2,14.2,50.0,52.6,95.83,58.6,101.8,105.3,-3.5,64.4,1.72,17.2,26.5,71.3,47.7,13.7,46.3,51.8,94.83,48.6
Denver Nuggets,105,Houston Rockets,85,1,92.4,91.8,0.6,59.4,1.14,15.0,33.0,74.5,53.5,18.2,44.8,48.0,98.5,49.6,88.5,108.5,-20.0,60.0,1.06,13.3,29.7,74.0,49.5,17.0,39.3,45.1,100.0,37.1
