TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,"AST
RATIO",OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Dallas Mavericks,12,11,1,576.0,115.4,106.4,9.0,60.2,1.82,19.0,30.4,71.2,51.8,14.7,55.8,58.9,94.42,54.9
Los Angeles Lakers,13,9,4,634.0,106.6,103.3,3.3,59.7,1.70,17.5,31.8,70.7,51.8,14.2,50.0,54.2,89.91,53.5
Miami Heat,12,9,3,576.0,110.5,103.4,7.1,50.1,1.41,15.5,27.8,70.9,50.7,14.6,52.7,57.1,93.42,56.3
Philadelphia 76ers,12,9,3,576.0,109.8,100.5,9.3,58.4,1.84,18.0,27.3,71.9,51.1,13.4,51.3,56.0,93.71,57.0
Phoenix Suns,12,9,3,586.0,109.6,103.0,6.6,60.8,1.87,18.3,28.3,71.0,50.1,13.6,52.5,55.7,93.71,53.9
San Antonio Spurs,12,9,3,576.0,109.0,102.7,6.3,59.0,1.68,17.9,27.4,70.9,50.5,14.5,52.9,56.3,91.67,54.1
Chicago Bulls,11,8,3,528.0,110.5,103.5,6.9,57.0,1.58,17.0,35.2,76.2,55.4,15.0,51.0,55.1,90.05,53.4
Houston Rockets,12,8,4,586.0,112.9,110.5,2.4,62.8,2.15,18.2,33.7,67.0,49.8,12.1,50.0,54.4,93.30,51.2
Indiana Pacers,13,8,5,634.0,108.8,105.5,3.2,47.4,1.15,13.8,34.7,68.2,51.8,16.1,49.1,54.5,95.74,51.9
Memphis Grizzlies,12,8,4,586.0,107.0,102.1,4.9,51.6,1.52,15.7,31.9,67.6,49.8,14.1,49.1,53.6,93.50,53.6
Portland Trail Blazers,12,8,4,586.0,109.9,108.8,1.1,58.4,1.67,17.3,28.0,66.2,47.3,14.0,51.5,56.6,88.79,52.3
Boston Celtics,11,7,4,528.0,102.1,98.5,3.6,64.9,1.57,17.9,26.9,70.0,49.1,15.6,47.9,53.3,91.91,54.2
Denver Nuggets,13,7,6,629.0,110.2,107.2,3.0,55.3,1.55,16.6,24.8,74.7,50.7,14.2,52.7,57.3,96.00,51.0
Orlando Magic,11,7,4,528.0,106.9,98.4,8.4,58.7,1.59,16.9,31.3,72.5,51.9,14.7,50.2,53.3,92.59,55.1
Atlanta Hawks,12,6,6,576.0,102.9,106.0,-3.1,59.4,1.57,17.2,29.9,72.1,50.8,15.1,48.5,52.3,89.42,47.3
Charlotte Bobcats,12,6,6,576.0,108.0,106.9,1.1,57.0,1.66,16.4,30.1,71.7,50.8,13.4,48.3,53.8,90.63,49.7
Golden State Warriors,11,6,5,528.0,106.9,110.1,-3.2,57.7,1.72,17.3,30.4,64.2,46.6,14.0,50.1,53.3,93.59,47.0
Oklahoma City Thunder,11,6,5,533.0,110.9,106.7,4.2,53.6,1.43,15.8,28.1,71.6,50.7,14.7,51.6,57.0,93.03,52.3
Detroit Pistons,13,5,8,629.0,108.6,111.7,-3.1,55.0,1.74,16.7,31.3,67.0,48.1,13.4,50.1,53.5,88.75,46.1
New York Knicks,10,5,5,480.0,106.9,106.9,0.0,57.1,1.48,16.6,25.9,72.5,48.8,15.1,50.4,55.4,97.10,50.1
New Orleans Hornets,12,4,8,581.0,105.8,107.9,-2.1,57.0,1.74,17.1,28.3,70.3,48.5,13.4,49.7,53.6,88.40,48.4
Cleveland Cavaliers,11,3,8,533.0,110.8,114.5,-3.6,62.3,1.75,18.1,31.4,64.5,48.2,14.5,51.2,55.5,94.74,48.7
Milwaukee Bucks,12,3,9,576.0,98.7,101.1,-2.4,54.9,1.44,14.9,27.5,69.6,47.3,14.0,44.8,49.3,90.88,47.6
Minnesota Timberwolves,13,3,10,624.0,101.2,109.7,-8.5,54.0,1.17,14.3,36.1,71.8,52.7,17.0,45.0,49.8,95.23,42.1
Sacramento Kings,13,3,10,624.0,102.4,110.8,-8.4,53.3,1.14,15.3,31.7,70.8,51.1,18.1,48.4,53.2,98.15,45.1
Toronto Raptors,11,3,8,528.0,104.8,112.7,-7.9,62.1,1.77,18.6,27.9,67.1,47.8,14.5,49.3,53.9,92.77,46.1
Utah Jazz,12,3,9,576.0,107.4,111.7,-4.3,60.0,1.68,17.8,32.4,69.7,51.0,14.8,49.3,53.8,93.38,49.6
Los Angeles Clippers,14,2,12,677.0,100.8,110.5,-9.7,59.4,1.24,16.1,29.3,66.9,48.0,17.7,48.0,52.3,92.81,44.2
New Jersey Nets,11,2,9,538.0,99.7,109.6,-9.9,61.5,1.63,16.8,29.6,69.3,48.6,14.3,45.6,49.6,91.67,43.4
Washington Wizards,12,2,10,576.0,99.6,111.1,-11.5,49.5,1.32,14.7,27.7,70.3,48.1,14.9,47.5,50.5,95.25,41.5
