Team1,Team1Score,Team2,Team2Score
Boston Celtics,104,New York Knicks,106
Miami Heat,105,Dallas Mavericks,94
Chicago Bulls,88,Los Angeles Lakers,87
Orlando Magic,89,Oklahoma City Thunder,97
Los Angeles Clippers,105,Golden State Warriors,86
Toronto Raptors,104,Cleveland Cavaliers,96
New Jersey Nets,90,Washington Wizards,84
Houston Rockets,95,Orlando Magic,104
Detroit Pistons,79,Indiana Pacers,91
Milwaukee Bucks,95,Charlotte Bobcats,96
Oklahoma City Thunder,104,Minnesota Timberwolves,100
Denver Nuggets,115,Dallas Mavericks,93
Memphis Grizzlies,82,San Antonio Spurs,95
New Orleans Hornets,85,Phoenix Suns,84
Philadelphia 76ers,103,Portland Trail Blazers,107
Los Angeles Lakers,91,Sacramento Kings,100
Chicago Bulls,91,Golden State Warriors,99
Atlanta Hawks,106,New Jersey Nets,70
Boston Celtics,107,Miami Heat,115
Minnesota Timberwolves,95,Milwaukee Bucks,98
Sacramento Kings,79,Portland Trail Blazers,101
Utah Jazz,71,Los Angeles Lakers,96
Indiana Pacers,90,Toronto Raptors,85
Miami Heat,96,Charlotte Bobcats,95
Washington Wizards,83,Atlanta Hawks,101
Cleveland Cavaliers,105,Detroit Pistons,89
Boston Celtics,78,New Orleans Hornets,97
Oklahoma City Thunder,98,Memphis Grizzlies,95
Los Angeles Clippers,90,San Antonio Spurs,115
Philadelphia 76ers,103,Phoenix Suns,83
Utah Jazz,100,Denver Nuggets,117
New York Knicks,78,Golden State Warriors,92
New Jersey Nets,78,Orlando Magic,94
San Antonio Spurs,85,Houston Rockets,105
Dallas Mavericks,102,Oklahoma City Thunder,104
Denver Nuggets,102,Portland Trail Blazers,111
Chicago Bulls,108,Sacramento Kings,98
New York Knicks,82,Los Angeles Lakers,99
Orlando Magic,100,Charlotte Bobcats,79
Cleveland Cavaliers,91,Indiana Pacers,98
New Jersey Nets,98,Atlanta Hawks,105
Detroit Pistons,85,Boston Celtics,96
Phoenix Suns,93,New Orleans Hornets,78
Houston Rockets,93,Memphis Grizzlies,113
Miami Heat,103,Minnesota Timberwolves,101
Toronto Raptors,86,Dallas Mavericks,99
Washington Wizards,81,Milwaukee Bucks,102
Philadelphia 76ers,99,Utah Jazz,102
Chicago Bulls,114,Los Angeles Clippers,101
Denver Nuggets,89,Los Angeles Lakers,92
Indiana Pacers,88,Detroit Pistons,96
Atlanta Hawks,84,Houston Rockets,95
Phoenix Suns,97,Oklahoma City Thunder,107
New York Knicks,114,Sacramento Kings,92
Utah Jazz,89,San Antonio Spurs,104
Philadelphia 76ers,107,Golden State Warriors,79
