Team1,Team1Score,Team2,Team2Score
Sacramento Kings,120,Portland Trail Blazers,122
Boston Celtics,105,Indiana Pacers,99
Los Angeles Lakers,126,New Orleans Pelicans,99
Philadelphia 76ers,96,Atlanta Hawks,117
New York Knicks,107,Toronto Raptors,118
Washington Wizards,95,Chicago Bulls,106
San Antonio Spurs,106,Houston Rockets,100
Utah Jazz,102,Miami Heat,91
Los Angeles Clippers,119,Minnesota Timberwolves,105
Memphis Grizzlies,96,Milwaukee Bucks,106
Detroit Pistons,106,Denver Nuggets,95
Brooklyn Nets,122,Phoenix Suns,104
Charlotte Hornets,93,Cleveland Cavaliers,100
Los Angeles Lakers,99,Minnesota Timberwolves,125
Orlando Magic,119,Oklahoma City Thunder,117
Phoenix Suns,120,Golden State Warriors,133
Denver Nuggets,105,Portland Trail Blazers,112
Orlando Magic,69,Indiana Pacers,88
Oklahoma City Thunder,88,Detroit Pistons,104
Dallas Mavericks,77,New York Knicks,93
Philadelphia 76ers,88,Houston Rockets,115
Boston Celtics,105,New Orleans Pelicans,106
Miami Heat,90,San Antonio Spurs,94
Memphis Grizzlies,102,Utah Jazz,96
Brooklyn Nets,95,Los Angeles Clippers,127
Toronto Raptors,117,Cleveland Cavaliers,121
Atlanta Hawks,93,Miami Heat,90
Charlotte Hornets,115,Minnesota Timberwolves,108
Chicago Bulls,113,Portland Trail Blazers,88
Brooklyn Nets,118,Los Angeles Lakers,125
Cleveland Cavaliers,93,Indiana Pacers,103
New Orleans Pelicans,82,Orlando Magic,89
Washington Wizards,102,Philadelphia 76ers,109
Milwaukee Bucks,100,Atlanta Hawks,107
Dallas Mavericks,83,Boston Celtics,90
Detroit Pistons,102,New York Knicks,105
Houston Rockets,103,Oklahoma City Thunder,105
Golden State Warriors,127,Toronto Raptors,121
Phoenix Suns,104,Denver Nuggets,120
Memphis Grizzlies,111,Los Angeles Clippers,107
San Antonio Spurs,110,Sacramento Kings,105
New York Knicks,112,Washington Wizards,119
Milwaukee Bucks,73,Miami Heat,96
Portland Trail Blazers,109,Houston Rockets,126
Philadelphia 76ers,86,Minnesota Timberwolves,110
Chicago Bulls,85,Utah Jazz,77
Atlanta Hawks,96,Charlotte Hornets,100
Phoenix Suns,116,Indiana Pacers,96
Detroit Pistons,81,Cleveland Cavaliers,104
Golden State Warriors,104,Boston Celtics,88
Portland Trail Blazers,101,New Orleans Pelicans,113
Brooklyn Nets,105,Oklahoma City Thunder,124
Memphis Grizzlies,80,Dallas Mavericks,64
Toronto Raptors,113,Denver Nuggets,111
San Antonio Spurs,116,Los Angeles Lakers,107
Los Angeles Clippers,121,Sacramento Kings,115
Utah Jazz,102,Houston Rockets,111
Boston Celtics,94,Detroit Pistons,92
Charlotte Hornets,116,New Orleans Pelicans,121
Dallas Mavericks,87,Orlando Magic,95
Miami Heat,114,Washington Wizards,111
Phoenix Suns,105,Philadelphia 76ers,120
Minnesota Timberwolves,71,Memphis Grizzlies,93
Golden State Warriors,124,Milwaukee Bucks,121
Chicago Bulls,95,Los Angeles Clippers,102
Atlanta Hawks,94,New York Knicks,104
Portland Trail Blazers,129,Brooklyn Nets,109
Indiana Pacers,115,Oklahoma City Thunder,111
Utah Jazz,91,Denver Nuggets,105
Toronto Raptors,99,Sacramento Kings,102
Chicago Bulls,118,Los Angeles Lakers,110
Memphis Grizzlies,105,Charlotte Hornets,90
Golden State Warriors,120,Indiana Pacers,83
Miami Heat,94,Philadelphia 76ers,101
Phoenix Suns,101,Washington Wizards,106
Houston Rockets,99,Detroit Pistons,96
Orlando Magic,89,Milwaukee Bucks,93
Boston Celtics,99,Minnesota Timberwolves,93
Dallas Mavericks,91,San Antonio Spurs,96
Toronto Raptors,115,Los Angeles Clippers,123
New Orleans Pelicans,112,Atlanta Hawks,94
Portland Trail Blazers,103,New York Knicks,107
Chicago Bulls,107,Denver Nuggets,110
Oklahoma City Thunder,109,Los Angeles Lakers,111
San Antonio Spurs,119,Charlotte Hornets,114
Portland Trail Blazers,125,Cleveland Cavaliers,137
Atlanta Hawks,96,Indiana Pacers,85
Phoenix Suns,92,Orlando Magic,87
Memphis Grizzlies,104,Philadelphia 76ers,99
Boston Celtics,111,Brooklyn Nets,92
Miami Heat,84,Detroit Pistons,107
Toronto Raptors,115,Houston Rockets,102
Los Angeles Clippers,124,Dallas Mavericks,104
Denver Nuggets,83,Utah Jazz,108
Minnesota Timberwolves,96,New Orleans Pelicans,117
Los Angeles Lakers,106,Golden State Warriors,149
Oklahoma City Thunder,101,Sacramento Kings,116
San Antonio Spurs,109,Boston Celtics,103
Washington Wizards,94,Orlando Magic,91
Dallas Mavericks,90,Cleveland Cavaliers,128
Los Angeles Clippers,97,Detroit Pistons,108
Charlotte Hornets,111,New York Knicks,113
Chicago Bulls,105,Philadelphia 76ers,89
Brooklyn Nets,97,Indiana Pacers,118
Miami Heat,90,Memphis Grizzlies,81
Toronto Raptors,105,Milwaukee Bucks,99
Atlanta Hawks,68,Utah Jazz,95
Oklahoma City Thunder,132,Denver Nuggets,129
Minnesota Timberwolves,98,Phoenix Suns,85
New Orleans Pelicans,104,Portland Trail Blazers,119
Golden State Warriors,109,Los Angeles Lakers,85
Houston Rockets,117,Sacramento Kings,104
New York Knicks,102,Charlotte Hornets,107
San Antonio Spurs,112,Washington Wizards,100
Memphis Grizzlies,110,Miami Heat,107
Detroit Pistons,88,Oklahoma City Thunder,106
Minnesota Timberwolves,102,Golden State Warriors,115
Cleveland Cavaliers,112,Philadelphia 76ers,108
Denver Nuggets,120,Phoenix Suns,114
Sacramento Kings,122,Brooklyn Nets,105
Los Angeles Clippers,70,Indiana Pacers,91
Milwaukee Bucks,104,Orlando Magic,96
New Orleans Pelicans,81,Dallas Mavericks,91
Houston Rockets,130,Portland Trail Blazers,114
Atlanta Hawks,94,Los Angeles Lakers,109
Sacramento Kings,95,Washington Wizards,101
Boston Celtics,112,Miami Heat,104
Oklahoma City Thunder,112,New York Knicks,103
Philadelphia 76ers,95,Toronto Raptors,122
Charlotte Hornets,104,Memphis Grizzlies,85
Utah Jazz,112,Minnesota Timberwolves,103
Atlanta Hawks,100,Golden State Warriors,105
Detroit Pistons,112,Charlotte Hornets,89
Los Angeles Clippers,122,Brooklyn Nets,127
Cleveland Cavaliers,101,Milwaukee Bucks,118
Los Angeles Lakers,88,New Orleans Pelicans,105
Orlando Magic,95,San Antonio Spurs,83
Houston Rockets,101,Utah Jazz,120
Detroit Pistons,121,Boston Celtics,114
Memphis Grizzlies,105,Toronto Raptors,120
Los Angeles Lakers,96,Chicago Bulls,90
New York Knicks,106,Minnesota Timberwolves,104
Washington Wizards,115,Oklahoma City Thunder,126
San Antonio Spurs,94,Dallas Mavericks,87
Miami Heat,106,Denver Nuggets,98
Atlanta Hawks,107,Phoenix Suns,109
Indiana Pacers,109,Portland Trail Blazers,131
